txId,timestamp,type,amount,nameOrig,nameDest,oldbalanceOrig,newbalanceOrig,oldbalanceDest,newbalanceDest
TX000046,2025-01-01 08:15:00,PAYMENT,251.17,C5502929,M6068760,15191.87,14940.7,0.0,251.17
TX000047,2025-01-01 08:20:00,CASH_IN,33317.32,C1486955,M7183841,21772.18,55089.5,0.0,33317.32
TX000048,2025-01-01 08:21:00,DEBIT,462.17,C5521644,M9418719,63577.91,63115.74,0.0,462.17
TX000049,2025-01-01 08:28:00,CASH_OUT,52.72,C2110460,C9697969,94616.61,94563.89,2702.7,2755.42
TX000050,2025-01-01 08:41:00,PAYMENT,310.42,C5235884,M3049499,9954.34,9643.92,0.0,310.42
TX000051,2025-01-01 08:43:00,PAYMENT,249.68,C8755439,M4979651,10137.51,9887.83,0.0,249.68
TX000052,2025-01-01 08:44:00,PAYMENT,78.51,C7906258,M5821419,94012.4,93933.89,0.0,78.51
TX000053,2025-01-01 08:53:00,TRANSFER,19172.17,C3641282,C8379837,81433.46,62261.29,42769.5,61941.67
TX000054,2025-01-01 08:56:00,CASH_IN,5622.36,C5273534,M8031780,28155.35,33777.71,0.0,5622.36
TX000055,2025-01-01 09:01:00,CASH_OUT,461.54,C8418210,C1669324,756341.18,755879.64,265229.09,265690.63
TX000056,2025-01-01 09:02:00,DEBIT,211.1,C6573147,M5953150,19571.32,19360.22,0.0,211.1
TX000057,2025-01-01 09:03:00,PAYMENT,130.94,C2429098,M8395785,51721.6,51590.66,0.0,130.94
TX000058,2025-01-01 09:03:00,CASH_IN,1081.02,C5480460,M6503032,63817.05,64898.07,0.0,1081.02
TX000059,2025-01-01 09:04:00,PAYMENT,41.15,C8713146,M1358318,103254.67,103213.52,0.0,41.15
TX000060,2025-01-01 09:09:00,CASH_OUT,399.79,C3846949,C8971465,87778.92,87379.13,61560.77,61960.56
TX000061,2025-01-01 09:11:00,DEBIT,892.36,C5446912,M3217273,206407.46,205515.1,0.0,892.36
TX000062,2025-01-01 09:13:00,CASH_IN,1997.28,C6261415,M3345069,55812.82,57810.1,0.0,1997.28
TX000063,2025-01-01 09:18:00,CASH_OUT,2116.58,C4842788,C7374122,7184.95,5068.37,14068.96,16185.54
TX000064,2025-01-01 09:19:00,PAYMENT,12.25,C4940441,M4475523,15322.28,15310.03,0.0,12.25
TX000065,2025-01-01 09:21:00,DEBIT,307.82,C2154126,M7454081,36104.28,35796.46,0.0,307.82
TX000066,2025-01-01 09:24:00,TRANSFER,645.39,C5081983,C4842788,4127.46,3482.07,2802.0,3447.39
TX000067,2025-01-01 09:38:00,TRANSFER,500.0,C7730428,C3653446,72124.1,71624.1,22623.81,23123.81
TX000068,2025-01-01 09:43:00,DEBIT,1249.45,C4486102,M1264762,14221.61,12972.16,0.0,1249.45
TX000069,2025-01-01 09:44:00,PAYMENT,119.46,C4934149,M2661307,6024.43,5904.97,0.0,119.46
TX000070,2025-01-01 09:46:00,CASH_OUT,1014.21,C4971793,C5936453,173753.39,172739.18,13330.64,14344.85
TX000071,2025-01-01 09:47:00,TRANSFER,1946.73,C3154051,C9877065,71163.32,69216.59,25144.91,27091.64
TX000072,2025-01-01 09:48:00,CASH_OUT,2381.34,C7360307,C4567281,4471.45,2090.11,114036.63,116417.97
TX000073,2025-01-01 10:00:00,DEBIT,941.8,C6304573,M7183841,3325939.78,3324997.98,0.0,941.8
TX000074,2025-01-01 10:02:00,PAYMENT,366.18,C3646552,M9084065,7475.0,7108.82,0.0,366.18
TX000075,2025-01-01 10:06:00,DEBIT,107.03,C5348512,M4674286,22171.78,22064.75,0.0,107.03
TX000076,2025-01-01 10:09:00,PAYMENT,159.66,C6702160,M2844258,335816.69,335657.03,0.0,159.66
TX000077,2025-01-01 10:10:00,CASH_IN,529.88,C1341919,M2661307,4678.84,5208.72,0.0,529.88
TX000078,2025-01-01 10:13:00,CASH_IN,1642.14,C6098175,M7970985,35038.89,36681.03,0.0,1642.14
TX000079,2025-01-01 10:17:00,CASH_OUT,11.85,C5218028,C1289293,22464.46,22452.61,50025.35,50037.2
TX000080,2025-01-01 10:19:00,CASH_OUT,535.48,C5213115,C8741810,17271.21,16735.73,54755.37,55290.85
TX000081,2025-01-01 10:19:00,PAYMENT,46.47,C5364698,M5398338,6438.08,6391.61,0.0,46.47
TX000082,2025-01-01 10:35:00,PAYMENT,33.52,C3037191,M1848566,20219.25,20185.73,0.0,33.52
TX000083,2025-01-01 10:36:00,TRANSFER,6326.6,C3790237,C7897151,112209.63,105883.03,84728.75,91055.35
TX000084,2025-01-01 10:37:00,PAYMENT,27.86,C3551903,M6068760,17084.0,17056.14,0.0,27.86
TX000085,2025-01-01 10:42:00,PAYMENT,20.37,C9745959,M8118722,20078.63,20058.26,0.0,20.37
TX000086,2025-01-01 10:43:00,PAYMENT,161.15,C8321474,M6431983,252896.92,252735.77,0.0,161.15
TX000087,2025-01-01 10:44:00,DEBIT,1418.24,C8663605,M3276065,24874.08,23455.84,0.0,1418.24
TX000088,2025-01-01 10:46:00,DEBIT,1964.55,C5171761,M3927575,203348.85,201384.3,0.0,1964.55
TX000089,2025-01-01 10:46:00,PAYMENT,30.32,C4009172,M8630043,32279.49,32249.17,0.0,30.32
TX000090,2025-01-01 10:48:00,DEBIT,150.79,C5453786,M7520395,31295.97,31145.18,0.0,150.79
TX000091,2025-01-01 10:51:00,CASH_IN,2040.3,C8973915,M3946751,195102.17,197142.47,0.0,2040.3
TX000092,2025-01-01 10:58:00,PAYMENT,335.04,C6438436,M4961312,228361.46,228026.42,0.0,335.04
TX000093,2025-01-01 10:58:00,TRANSFER,439.86,C5217853,C1327691,8739.8,8299.94,184263.14,184703.0
TX000094,2025-01-01 11:01:00,CASH_IN,2700.73,C3198037,M8583392,95443.96,98144.69,0.0,2700.73
TX000095,2025-01-01 11:08:00,CASH_IN,1921.59,C4318855,M3946751,5858.4,7779.99,0.0,1921.59
TX000096,2025-01-01 11:10:00,PAYMENT,94.82,C2919136,M1432519,54324.62,54229.8,0.0,94.82
TX000097,2025-01-01 11:20:00,CASH_IN,879.86,C5666692,M5572250,31850.9,32730.76,0.0,879.86
TX000098,2025-01-01 11:25:00,PAYMENT,107.23,C2229110,M6595355,21097.37,20990.14,0.0,107.23
TX000099,2025-01-01 11:34:00,PAYMENT,73.04,C2154126,M1771600,36177.32,36104.28,0.0,73.04
TX000100,2025-01-01 11:53:00,TRANSFER,1248.37,C7851696,C4576135,22793.17,21544.8,22117.54,23365.91
TX000101,2025-01-01 12:09:00,PAYMENT,212.96,C8761611,M1624315,12772.91,12559.95,0.0,212.96
TX000102,2025-01-01 12:09:00,CASH_OUT,1098.27,C8387112,C6871360,59144.77,58046.5,22991.73,24090.0
TX000103,2025-01-01 12:13:00,DEBIT,136.71,C1533224,M3946751,224615.55,224478.84,0.0,136.71
TX000104,2025-01-01 12:43:00,TRANSFER,4986.25,C5456573,C3556551,135410.08,130423.83,7009.13,11995.38
TX000105,2025-01-01 12:46:00,PAYMENT,275.95,C7917152,M4342306,15217.18,14941.23,0.0,275.95
TX000106,2025-01-01 12:47:00,CASH_OUT,3868.12,C6160869,C4879923,21459.27,17591.15,13937.23,17805.35
TX000107,2025-01-01 12:49:00,PAYMENT,175.54,C3653446,M4342306,22993.77,22818.23,0.0,175.54
TX000108,2025-01-01 12:50:00,CASH_OUT,304.3,C4771676,C8835373,23872.79,23568.49,62695.62,62999.92
TX000109,2025-01-01 12:52:00,TRANSFER,3336.63,C3950888,C8090293,263644.98,260308.35,11880.79,15217.42
TX000110,2025-01-01 13:01:00,DEBIT,70.69,C8670955,M1264762,597322.15,597251.46,0.0,70.69
TX000111,2025-01-01 13:01:00,CASH_IN,1021.94,C8434500,M8990081,101895.47,102917.41,0.0,1021.94
TX000112,2025-01-01 13:09:00,CASH_OUT,2080.59,C4918527,C1192619,22748.74,20668.15,36468.28,38548.87
TX000113,2025-01-01 13:09:00,PAYMENT,29.46,C3118618,M3442255,13606.05,13576.59,0.0,29.46
TX000114,2025-01-01 13:12:00,CASH_OUT,38.97,C8746014,C2242892,26595.11,26556.14,35836.58,35875.55
TX000115,2025-01-01 13:13:00,CASH_OUT,421.24,C6539837,C3626181,45128.68,44707.44,447.22,868.46
TX000116,2025-01-01 13:15:00,PAYMENT,1098.19,C6790218,M8910069,211503.99,210405.8,0.0,1098.19
TX000117,2025-01-01 13:16:00,DEBIT,30.84,C7728339,M8118722,28612.17,28581.33,0.0,30.84
TX000118,2025-01-01 13:18:00,TRANSFER,772.51,C4514944,C1842524,278392.21,277619.7,46584.72,47357.23
TX000119,2025-01-01 13:19:00,DEBIT,94.23,C7728339,M7847048,23472.25,23378.02,0.0,94.23
TX000120,2025-01-01 13:20:00,DEBIT,175.81,C4731818,M1559763,249856.78,249680.97,0.0,175.81
TX000121,2025-01-01 13:29:00,PAYMENT,83.66,C4327421,M1879109,149.68,66.02,0.0,83.66
TX000122,2025-01-01 13:44:00,DEBIT,59.67,C6188935,M2263313,45971.26,45911.59,0.0,59.67
TX000123,2025-01-01 13:48:00,PAYMENT,143.15,C2709620,M2515030,12022.11,11878.96,0.0,143.15
TX000124,2025-01-01 13:54:00,TRANSFER,2337.61,C3564251,C3790237,11037.38,8699.77,111103.98,113441.59
TX000125,2025-01-01 13:54:00,DEBIT,217.97,C2876932,M4939290,22860.31,22642.34,0.0,217.97
TX000126,2025-01-01 14:03:00,PAYMENT,24.33,C5918715,M4961312,12496.96,12472.63,0.0,24.33
TX000127,2025-01-01 14:04:00,DEBIT,442.94,C7194416,M4716988,56819.72,56376.78,0.0,442.94
TX000128,2025-01-01 14:04:00,PAYMENT,249.28,C6672134,M5628522,34456.14,34206.86,0.0,249.28
TX000129,2025-01-01 14:09:00,CASH_IN,630.38,C2719583,M2817745,20694.63,21325.01,0.0,630.38
TX000130,2025-01-01 14:16:00,PAYMENT,48.44,C2044645,M3180906,22481.93,22433.49,0.0,48.44
TX000131,2025-01-01 14:17:00,TRANSFER,5139.74,C9143903,C5446912,29633.43,24493.69,133908.7,139048.44
TX000132,2025-01-01 14:18:00,DEBIT,229.08,C2921542,M6069909,23936.06,23706.98,0.0,229.08
TX000133,2025-01-01 14:22:00,CASH_OUT,3529.09,C3198037,C5502929,98144.69,94615.6,10298.65,13827.74
TX000134,2025-01-01 14:23:00,CASH_OUT,3039.0,C6647119,C3138181,56139.43,53100.43,52785.04,55824.04
TX000135,2025-01-01 14:27:00,DEBIT,928.15,C5770422,M2957497,12074.38,11146.23,0.0,928.15
TX000136,2025-01-01 14:29:00,PAYMENT,183.86,C1229419,M8710313,220077.23,219893.37,0.0,183.86
TX000137,2025-01-01 14:31:00,CASH_IN,1068.16,C8935169,M3345069,178798.29,179866.45,0.0,1068.16
TX000138,2025-01-01 14:45:00,PAYMENT,227.66,C4486102,M4558545,10202.14,9974.48,0.0,227.66
TX000139,2025-01-01 14:47:00,TRANSFER,101.33,C7069650,C5918715,14934.59,14833.26,6181.8,6283.13
TX000140,2025-01-01 14:47:00,PAYMENT,210.91,C4934149,M3442255,13270.21,13059.3,0.0,210.91
TX000141,2025-01-01 14:49:00,CASH_OUT,6882.5,C7960328,C4165061,6882.5,0.0,64458.73,71341.23
TX000142,2025-01-01 14:51:00,PAYMENT,35.37,C8633773,M3946751,24904.14,24868.77,0.0,35.37
TX000143,2025-01-01 14:53:00,CASH_IN,286.9,C4769851,M1727544,67530.21,67817.11,0.0,286.9
TX000144,2025-01-01 15:02:00,PAYMENT,358.34,C9031491,M7022335,424.19,65.85,0.0,358.34
TX000145,2025-01-01 15:18:00,DEBIT,96.2,C2161193,M8664433,1378.22,1282.02,0.0,96.2
TX000146,2025-01-01 15:22:00,PAYMENT,81.08,C4840714,M6512314,7177.92,7096.84,0.0,81.08
TX000147,2025-01-01 15:26:00,PAYMENT,169.42,C7435505,M5953150,53414.77,53245.35,0.0,169.42
TX000148,2025-01-01 15:30:00,PAYMENT,525.79,C2563790,M7392547,11797.83,11272.04,0.0,525.79
TX000149,2025-01-01 15:38:00,PAYMENT,75.68,C5394880,M5951131,34585.97,34510.29,0.0,75.68
TX000150,2025-01-01 15:38:00,PAYMENT,14.76,C4567281,M8857296,113576.14,113561.38,0.0,14.76
TX000151,2025-01-01 15:39:00,PAYMENT,82.65,C7455324,M5605016,32570.58,32487.93,0.0,82.65
TX000152,2025-01-01 15:41:00,PAYMENT,135.35,C5679639,M1419843,15730.57,15595.22,0.0,135.35
TX000153,2025-01-01 15:42:00,PAYMENT,908.41,C9996207,M9349470,49652.7,48744.29,0.0,908.41
TX000154,2025-01-01 15:48:00,TRANSFER,144.57,C9961107,C2422633,75645.65,75501.08,88110.27,88254.84
TX000155,2025-01-01 15:48:14,PAYMENT,7684.96,C3741438,M3592464,37177.17,29492.21,0.0,7684.96
TX000156,2025-01-01 15:50:14,PAYMENT,7686.58,C3741438,M3592464,29492.21,21805.63,0.0,7686.58
TX000157,2025-01-01 16:00:00,PAYMENT,619.06,C6188935,M7183841,96852.6,96233.54,0.0,619.06
TX000158,2025-01-01 16:08:00,CASH_OUT,208.3,C5641923,C7395997,177853.72,177645.42,91009.42,91217.72
TX000159,2025-01-01 16:09:00,PAYMENT,504.25,C2437026,M6068760,143926.33,143422.08,0.0,504.25
TX000160,2025-01-01 16:09:00,CASH_OUT,18239.24,C1257489,C4656838,21332.72,3093.48,38216.98,56456.22
TX000161,2025-01-01 16:18:00,PAYMENT,51.37,C2130789,M7017548,366234.95,366183.58,0.0,51.37
TX000162,2025-01-01 16:18:00,TRANSFER,62.47,C9801946,C4681284,113.6,51.13,1210.6,1273.07
TX000163,2025-01-01 16:25:00,PAYMENT,16.68,C1156287,M3073474,390010.18,389993.5,0.0,16.68
TX000164,2025-01-01 17:00:00,PAYMENT,42.19,C8273315,M3276065,60740.26,60698.07,0.0,42.19
TX000165,2025-01-01 17:01:00,TRANSFER,13768.88,C1212267,C7069650,525741.01,511972.13,13448.25,27217.13
TX000166,2025-01-01 17:14:00,CASH_IN,4752.93,C2194198,M1432519,339264.89,344017.82,0.0,4752.93
TX000167,2025-01-01 17:17:00,PAYMENT,178.52,C3475836,M4368777,8128.16,7949.64,0.0,178.52
TX000168,2025-01-01 17:35:00,PAYMENT,374.25,C3253031,M6442103,68139.25,67765.0,0.0,374.25
TX000169,2025-01-01 17:37:00,TRANSFER,1383.02,C8418210,C9961299,755495.22,754112.2,41487.7,42870.72
TX000170,2025-01-01 17:39:00,CASH_IN,20472.38,C5408072,M4938791,18493.04,38965.42,0.0,20472.38
TX000171,2025-01-01 17:40:00,CASH_IN,2574.58,C4731818,M6431983,242177.7,244752.28,0.0,2574.58
TX000172,2025-01-01 17:44:00,PAYMENT,707.43,C8746014,M4939290,8057.57,7350.14,0.0,707.43
TX000173,2025-01-01 17:52:00,CASH_OUT,192.69,C7812810,C2770648,407998.25,407805.56,7678.59,7871.28
TX000174,2025-01-01 18:02:00,DEBIT,468.24,C2016911,M3927575,63911.33,63443.09,0.0,468.24
TX000175,2025-01-01 18:06:00,CASH_OUT,3352.19,C2349590,C9179730,27729.35,24377.16,63916.5,67268.69
TX000176,2025-01-01 18:07:00,PAYMENT,159.95,C6386463,M4623062,19940.72,19780.77,0.0,159.95
TX000177,2025-01-01 18:07:00,PAYMENT,590.3,C3770370,M8857296,28927.05,28336.75,0.0,590.3
TX000178,2025-01-01 18:15:00,PAYMENT,188.03,C3551903,M2512187,29688.06,29500.03,0.0,188.03
TX000179,2025-01-01 18:19:00,CASH_IN,6980.18,C8640615,M4623062,112239.97,119220.15,0.0,6980.18
TX000180,2025-01-01 18:23:00,CASH_OUT,636.87,C5394880,C2683838,42584.96,41948.09,19290.0,19926.87
TX000181,2025-01-01 18:24:00,CASH_IN,5978.82,C1212267,M5204819,511972.13,517950.95,0.0,5978.82
TX000182,2025-01-01 18:33:00,CASH_OUT,9433.37,C2818692,C6866294,40991.17,31557.8,115493.07,124926.44
TX000183,2025-01-01 18:41:00,TRANSFER,917.38,C5024269,C9234615,3750207.37,3749289.99,28841.19,29758.57
TX000184,2025-01-01 18:46:00,PAYMENT,62.32,C6407658,M8280833,6225.88,6163.56,0.0,62.32
TX000185,2025-01-01 18:49:00,PAYMENT,261.3,C1109031,M5821419,68905.31,68644.01,0.0,261.3
TX000186,2025-01-01 18:49:00,CASH_OUT,918.37,C3670226,C5545223,173177.19,172258.82,45044.82,45963.19
TX000187,2025-01-01 18:49:00,DEBIT,544.82,C8419378,M6431983,18687.91,18143.09,0.0,544.82
TX000188,2025-01-01 18:49:00,PAYMENT,237.48,C7838382,M5205279,9206.39,8968.91,0.0,237.48
TX000189,2025-01-01 18:50:00,CASH_OUT,945.26,C4717770,C8212326,32315.63,31370.37,6434.31,7379.57
TX000190,2025-01-01 18:51:00,PAYMENT,58.26,C1852264,M7216461,1141.36,1083.1,0.0,58.26
TX000191,2025-01-01 18:52:00,CASH_OUT,5831.34,C3219824,C1841248,85996.22,80164.88,28313.85,34145.19
TX000192,2025-01-01 18:53:00,CASH_IN,7440.54,C7637601,M9418719,29397.46,36838.0,0.0,7440.54
TX000193,2025-01-01 18:58:53,TRANSFER,21267.73,C5587308,C1120642,114383.87,93116.14,6817.78,28085.51
TX000194,2025-01-01 18:59:00,CASH_OUT,14617.38,C2229110,C3138181,36605.39,21988.01,31336.25,45953.63
TX000195,2025-01-01 19:06:00,CASH_IN,828.67,C9312590,M4716988,54367.67,55196.34,0.0,828.67
TX000196,2025-01-01 19:07:00,PAYMENT,69.99,C1959074,M5398338,310937.69,310867.7,0.0,69.99
TX000197,2025-01-01 19:11:00,TRANSFER,1643.17,C6472441,C5213115,21175.53,19532.36,21092.89,22736.06
TX000198,2025-01-01 19:18:00,CASH_OUT,329.56,C1229419,C6472441,223961.45,223631.89,19963.03,20292.59
TX000199,2025-01-01 19:27:00,CASH_IN,1266.61,C9153566,M1548888,172939.45,174206.06,0.0,1266.61
TX000200,2025-01-01 19:29:00,PAYMENT,779.29,C2349590,M7392547,28288.48,27509.19,0.0,779.29
TX000201,2025-01-01 19:29:53,TRANSFER,11664.19,C5587308,C8072684,93116.14,81451.95,28598.55,40262.74
TX000202,2025-01-01 19:32:00,TRANSFER,204.37,C4337174,C5988757,69024.23,68819.86,67887.89,68092.26
TX000203,2025-01-01 19:40:53,TRANSFER,17818.46,C5587308,C2299954,68490.45,50671.99,23404.39,41222.85
TX000204,2025-01-01 19:42:00,DEBIT,161.28,C6596150,M4558545,1461815.09,1461653.81,0.0,161.28
TX000205,2025-01-01 19:43:53,TRANSFER,12961.5,C5587308,C5682940,81451.95,68490.45,70800.6,83762.1
TX000206,2025-01-01 19:55:53,TRANSFER,7870.59,C5587308,C8816912,50671.99,42801.4,39570.36,47440.95
TX000207,2025-01-01 20:01:00,CASH_IN,2892.13,C5163555,M4961312,26444.8,29336.93,0.0,2892.13
TX000208,2025-01-01 20:21:00,PAYMENT,784.97,C5213115,M6068760,18056.18,17271.21,0.0,784.97
TX000209,2025-01-01 20:27:00,PAYMENT,198.45,C3493017,M1358318,63557.59,63359.14,0.0,198.45
TX000210,2025-01-01 20:27:00,CASH_IN,297.38,C3995870,M3923366,13962.01,14259.39,0.0,297.38
TX000211,2025-01-01 20:27:00,CASH_IN,445.19,C1909393,M7022335,33053.43,33498.62,0.0,445.19
TX000212,2025-01-01 20:28:00,CASH_IN,6388.25,C7970771,M8990081,201893.36,208281.61,0.0,6388.25
TX000213,2025-01-01 20:31:00,PAYMENT,121.38,C7812810,M7847048,365602.33,365480.95,0.0,121.38
TX000214,2025-01-01 20:32:00,TRANSFER,17870.74,C1109031,C5668371,61947.02,44076.28,3186.24,21056.98
TX000215,2025-01-01 20:44:00,PAYMENT,93.17,C5835492,M2515030,54193.17,54100.0,0.0,93.17
TX000216,2025-01-01 20:49:00,PAYMENT,176.15,C8973915,M7288789,198297.46,198121.31,0.0,176.15
TX000217,2025-01-01 20:54:00,CASH_OUT,1088.57,C5691890,C8350099,9528.99,8440.42,8063.33,9151.9
TX000218,2025-01-01 20:54:00,CASH_IN,876.19,C4700025,M2817745,5448.87,6325.06,0.0,876.19
TX000219,2025-01-01 20:55:00,PAYMENT,202.58,C4205394,M3112652,81540.23,81337.65,0.0,202.58
TX000220,2025-01-01 20:57:00,CASH_OUT,449.41,C5886520,C7374122,18440.3,17990.89,15088.27,15537.68
TX000221,2025-01-01 20:58:00,DEBIT,249.19,C5456272,M4184459,45207.16,44957.97,0.0,249.19
TX000222,2025-01-01 21:03:00,PAYMENT,300.2,C5667265,M5204819,26520.53,26220.33,0.0,300.2
TX000223,2025-01-01 21:09:00,TRANSFER,2218.71,C9706768,C5558623,152612.64,150393.93,21419.8,23638.51
TX000224,2025-01-01 21:10:00,PAYMENT,502.45,C3564251,M3073474,947.31,444.86,0.0,502.45
TX000225,2025-01-01 21:23:00,PAYMENT,912.29,C4740036,M8990081,296595.38,295683.09,0.0,912.29
TX000226,2025-01-01 21:31:00,CASH_IN,5990.5,C7417985,M8789116,105147.93,111138.43,0.0,5990.5
TX000227,2025-01-01 21:37:00,DEBIT,373.97,C5667265,M1771600,24635.64,24261.67,0.0,373.97
TX000228,2025-01-01 21:47:00,PAYMENT,267.2,C5960271,M7454081,107074.98,106807.78,0.0,267.2
TX000229,2025-01-01 21:49:00,TRANSFER,1228.92,C6229731,C1093026,76702.94,75474.02,63960.77,65189.69
TX000230,2025-01-01 21:50:00,PAYMENT,385.99,C8852574,M2066326,87966.87,87580.88,0.0,385.99
TX000231,2025-01-01 21:54:00,TRANSFER,2175.83,C8306261,C6098175,26638.44,24462.61,33390.86,35566.69
TX000232,2025-01-01 21:54:00,DEBIT,229.37,C3011363,M3294774,93684.06,93454.69,0.0,229.37
TX000233,2025-01-01 22:01:00,CASH_IN,11774.53,C5093379,M5204819,49228.33,61002.86,0.0,11774.53
TX000234,2025-01-01 22:03:00,PAYMENT,986.74,C1533224,M1727544,226084.04,225097.3,0.0,986.74
TX000235,2025-01-01 22:06:00,CASH_OUT,397.58,C6312692,C6855396,8792.93,8395.35,336543.52,336941.1
TX000236,2025-01-01 22:06:00,CASH_IN,5692.29,C7361002,M4020853,20472.75,26165.04,0.0,5692.29
TX000237,2025-01-01 22:32:00,PAYMENT,182.71,C3815034,M4368777,30891.64,30708.93,0.0,182.71
TX000238,2025-01-01 22:36:00,DEBIT,156.05,C7273233,M7017548,77362.19,77206.14,0.0,156.05
TX000239,2025-01-01 22:43:00,PAYMENT,73.9,C6207974,M9209880,5749.83,5675.93,0.0,73.9
